[2025-06-01 13:16:32 IST] Starting Spotify processing from Google Drive...
[2025-06-01 13:16:32 IST] Looking for target archive file 'WhatsApp Chat with Mandatory vibe compliance' in input folder '1B_xYH6Bi0B6HbNMLupm8P5LChLSNxqi9'.
[2025-06-01 13:16:32 IST] DEBUG: Inside get_target_archive_file. Input Folder ID: '1B_xYH6Bi0B6HbNMLupm8P5LChLSNxqi9', Target Filename: 'WhatsApp Chat with Mandatory vibe compliance'
[2025-06-01 13:16:32 IST] DEBUG: Executing Google Drive API query: '1B_xYH6Bi0B6HbNMLupm8P5LChLSNxqi9' in parents and name = 'WhatsApp Chat with Mandatory vibe compliance' and trashed=false
[2025-06-01 13:16:33 IST] Found target archive file: WhatsApp Chat with Mandatory vibe compliance (ID: 1PZSuhjncgx4-ChG6Siz_gjO9T57EK1e9, Type: application/zip, Modified: 2025-05-31T17:07:12.603Z)
[2025-06-01 13:16:33 IST] 
Processing specified Drive archive: WhatsApp Chat with Mandatory vibe compliance (ID: 1PZSuhjncgx4-ChG6Siz_gjO9T57EK1e9)
[2025-06-01 13:16:33 IST] Attempting to download and extract from archive: WhatsApp Chat with Mandatory vibe compliance (ID: 1PZSuhjncgx4-ChG6Siz_gjO9T57EK1e9)
[2025-06-01 13:16:35 IST] Download of archive WhatsApp Chat with Mandatory vibe compliance complete.
[2025-06-01 13:16:35 IST] Extracting 'WhatsApp Chat with Mandatory vibe compliance.txt' from archive.
[2025-06-01 13:16:35 IST] Successfully extracted chat content from WhatsApp Chat with Mandatory vibe compliance (internal file: WhatsApp Chat with Mandatory vibe compliance.txt).
[2025-06-01 13:16:35 IST] Found SPOTIPY_CACHE_CONTENT, writing to .spotifycache
[2025-06-01 13:16:35 IST] Successfully authenticated with Spotify.
[2025-06-01 13:16:35 IST] Fetching existing tracks from Spotify playlist ID: 3FWsFPdh378wMWYiSZdupS...
[2025-06-01 13:16:36 IST] Spotify playlist currently has 267 tracks.
